experiment_type,conditions,results,gene_id,publication_id
WGS,"{""temperature"": ""21\u00b0C"", ""ph"": 7.6, ""time"": ""15h""}","{""measurement"": 17.26, ""p_value"": 0.0286, ""fold_change"": -4.89}",239,153
WGS,"{""temperature"": ""20\u00b0C"", ""ph"": 6.3, ""time"": ""45h""}","{""measurement"": 18.05, ""p_value"": 0.0447, ""fold_change"": -4.79}",214,167
WGS,"{""temperature"": ""32\u00b0C"", ""ph"": 7.5, ""time"": ""14h""}","{""measurement"": 58.0, ""p_value"": 0.0115, ""fold_change"": 4.33}",254,379
WGS,"{""temperature"": ""28\u00b0C"", ""ph"": 7.2, ""time"": ""14h""}","{""measurement"": 53.63, ""p_value"": 0.0137, ""fold_change"": -3.0}",466,65
RNA-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.4, ""time"": ""19h""}","{""measurement"": 52.97, ""p_value"": 0.0312, ""fold_change"": -2.92}",728,242
WES,"{""temperature"": ""28\u00b0C"", ""ph"": 6.4, ""time"": ""40h""}","{""measurement"": 56.99, ""p_value"": 0.0037, ""fold_change"": -1.83}",901,397
Proteomics,"{""temperature"": ""30\u00b0C"", ""ph"": 6.4, ""time"": ""30h""}","{""measurement"": 45.41, ""p_value"": 0.0355, ""fold_change"": -4.62}",75,476
Metabolomics,"{""temperature"": ""22\u00b0C"", ""ph"": 7.2, ""time"": ""13h""}","{""measurement"": 0.12, ""p_value"": 0.0499, ""fold_change"": -0.3}",123,31
RNA-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 6.4, ""time"": ""8h""}","{""measurement"": 46.15, ""p_value"": 0.0344, ""fold_change"": -0.54}",849,311
WES,"{""temperature"": ""23\u00b0C"", ""ph"": 7.2, ""time"": ""22h""}","{""measurement"": 55.97, ""p_value"": 0.0347, ""fold_change"": -4.89}",133,125
ATAC-Seq,"{""temperature"": ""30\u00b0C"", ""ph"": 7.5, ""time"": ""13h""}","{""measurement"": 62.91, ""p_value"": 0.0296, ""fold_change"": 3.16}",786,266
WES,"{""temperature"": ""37\u00b0C"", ""ph"": 6.1, ""time"": ""39h""}","{""measurement"": 80.34, ""p_value"": 0.0301, ""fold_change"": 0.89}",283,63
Microarray,"{""temperature"": ""30\u00b0C"", ""ph"": 6.9, ""time"": ""14h""}","{""measurement"": 92.6, ""p_value"": 0.0165, ""fold_change"": -3.34}",903,461
WES,"{""temperature"": ""30\u00b0C"", ""ph"": 7.0, ""time"": ""2h""}","{""measurement"": 46.83, ""p_value"": 0.0081, ""fold_change"": 4.69}",507,243
ATAC-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 7.6, ""time"": ""30h""}","{""measurement"": 69.27, ""p_value"": 0.0441, ""fold_change"": -2.77}",561,236
WES,"{""temperature"": ""22\u00b0C"", ""ph"": 7.5, ""time"": ""39h""}","{""measurement"": 17.13, ""p_value"": 0.0284, ""fold_change"": -4.12}",940,496
WGS,"{""temperature"": ""33\u00b0C"", ""ph"": 7.5, ""time"": ""26h""}","{""measurement"": 2.93, ""p_value"": 0.0165, ""fold_change"": -1.84}",905,247
ChIP-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 6.2, ""time"": ""11h""}","{""measurement"": 48.39, ""p_value"": 0.0136, ""fold_change"": -4.45}",507,429
Microarray,"{""temperature"": ""20\u00b0C"", ""ph"": 7.4, ""time"": ""1h""}","{""measurement"": 10.43, ""p_value"": 0.0237, ""fold_change"": -4.17}",104,56
WES,"{""temperature"": ""35\u00b0C"", ""ph"": 6.4, ""time"": ""2h""}","{""measurement"": 67.35, ""p_value"": 0.015, ""fold_change"": 2.92}",861,178
Metabolomics,"{""temperature"": ""25\u00b0C"", ""ph"": 7.0, ""time"": ""48h""}","{""measurement"": 50.68, ""p_value"": 0.0212, ""fold_change"": -2.31}",670,28
WGS,"{""temperature"": ""24\u00b0C"", ""ph"": 6.9, ""time"": ""13h""}","{""measurement"": 50.84, ""p_value"": 0.0257, ""fold_change"": 0.12}",329,126
Microarray,"{""temperature"": ""21\u00b0C"", ""ph"": 7.8, ""time"": ""39h""}","{""measurement"": 7.56, ""p_value"": 0.0218, ""fold_change"": 1.45}",167,175
WGS,"{""temperature"": ""27\u00b0C"", ""ph"": 7.5, ""time"": ""33h""}","{""measurement"": 68.36, ""p_value"": 0.0029, ""fold_change"": -4.29}",605,376
RNA-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 7.7, ""time"": ""24h""}","{""measurement"": 99.5, ""p_value"": 0.009, ""fold_change"": 1.81}",376,278
WES,"{""temperature"": ""27\u00b0C"", ""ph"": 7.1, ""time"": ""22h""}","{""measurement"": 89.29, ""p_value"": 0.0245, ""fold_change"": -2.76}",13,489
WGS,"{""temperature"": ""25\u00b0C"", ""ph"": 6.9, ""time"": ""37h""}","{""measurement"": 57.14, ""p_value"": 0.0023, ""fold_change"": -1.15}",268,173
WES,"{""temperature"": ""32\u00b0C"", ""ph"": 7.2, ""time"": ""36h""}","{""measurement"": 29.29, ""p_value"": 0.0308, ""fold_change"": -2.7}",471,2
WGS,"{""temperature"": ""37\u00b0C"", ""ph"": 7.4, ""time"": ""17h""}","{""measurement"": 99.92, ""p_value"": 0.045, ""fold_change"": 0.69}",755,298
WES,"{""temperature"": ""27\u00b0C"", ""ph"": 6.2, ""time"": ""3h""}","{""measurement"": 30.36, ""p_value"": 0.0192, ""fold_change"": 0.67}",598,461
Proteomics,"{""temperature"": ""25\u00b0C"", ""ph"": 6.1, ""time"": ""37h""}","{""measurement"": 31.99, ""p_value"": 0.0407, ""fold_change"": -2.65}",398,495
Microarray,"{""temperature"": ""34\u00b0C"", ""ph"": 6.4, ""time"": ""45h""}","{""measurement"": 77.68, ""p_value"": 0.0485, ""fold_change"": 1.58}",3,418
ChIP-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.3, ""time"": ""30h""}","{""measurement"": 46.1, ""p_value"": 0.0059, ""fold_change"": 4.78}",56,80
WES,"{""temperature"": ""28\u00b0C"", ""ph"": 6.4, ""time"": ""29h""}","{""measurement"": 81.91, ""p_value"": 0.0074, ""fold_change"": 3.33}",857,72
Metabolomics,"{""temperature"": ""20\u00b0C"", ""ph"": 7.9, ""time"": ""48h""}","{""measurement"": 44.69, ""p_value"": 0.0107, ""fold_change"": -1.37}",812,274
Metabolomics,"{""temperature"": ""25\u00b0C"", ""ph"": 7.7, ""time"": ""1h""}","{""measurement"": 97.52, ""p_value"": 0.021, ""fold_change"": -2.43}",935,113
WGS,"{""temperature"": ""26\u00b0C"", ""ph"": 7.7, ""time"": ""9h""}","{""measurement"": 37.3, ""p_value"": 0.0292, ""fold_change"": -0.11}",651,1
Proteomics,"{""temperature"": ""21\u00b0C"", ""ph"": 6.8, ""time"": ""6h""}","{""measurement"": 89.28, ""p_value"": 0.0239, ""fold_change"": 4.21}",172,138
ATAC-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 6.6, ""time"": ""35h""}","{""measurement"": 32.81, ""p_value"": 0.0145, ""fold_change"": -3.12}",128,458
ChIP-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 7.5, ""time"": ""21h""}","{""measurement"": 9.09, ""p_value"": 0.0137, ""fold_change"": 2.86}",110,45
WGS,"{""temperature"": ""30\u00b0C"", ""ph"": 6.3, ""time"": ""26h""}","{""measurement"": 63.18, ""p_value"": 0.0055, ""fold_change"": -2.39}",12,193
ATAC-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 6.5, ""time"": ""35h""}","{""measurement"": 89.02, ""p_value"": 0.0019, ""fold_change"": 1.16}",991,19
Microarray,"{""temperature"": ""35\u00b0C"", ""ph"": 6.1, ""time"": ""22h""}","{""measurement"": 84.23, ""p_value"": 0.0233, ""fold_change"": 2.17}",217,88
ATAC-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 7.7, ""time"": ""26h""}","{""measurement"": 48.53, ""p_value"": 0.019, ""fold_change"": -0.51}",94,483
WES,"{""temperature"": ""32\u00b0C"", ""ph"": 7.2, ""time"": ""16h""}","{""measurement"": 58.39, ""p_value"": 0.0347, ""fold_change"": -4.32}",172,267
