title,authors,journal,publication_year,doi
Research on Gene Function 0,"Author0, Author1",Bioinformatics,2014,10.1234/journal.9631.0
Research on Gene Function 1,"Author0, Author1, Author2, Author3",BMC Genomics,2018,10.1234/journal.6605.1
Research on Gene Function 2,"Author0, Author1, Author2",Nature,2012,10.1234/journal.7840.2
Research on Gene Function 3,Author0,BMC Genomics,2024,10.1234/journal.2249.3
Research on Gene Function 4,"Author0, Author1, Author2",Bioinformatics,2015,10.1234/journal.4331.4
Research on Gene Function 5,"Author0, Author1, Author2, Author3",Science,2020,10.1234/journal.1536.5
Research on Gene Function 6,"Author0, Author1, Author2",Cell,2011,10.1234/journal.3883.6
Research on Gene Function 7,"Author0, Author1",BMC Genomics,2012,10.1234/journal.9672.7
Research on Gene Function 8,"Author0, Author1, Author2, Author3, Author4",Nature,2020,10.1234/journal.8858.8
Research on Gene Function 9,"Author0, Author1",PLOS ONE,2014,10.1234/journal.6679.9
Research on Gene Function 10,"Author0, Author1, Author2, Author3, Author4",Cell,2013,10.1234/journal.8394.10
Research on Gene Function 11,"Author0, Author1, Author2, Author3, Author4",Science,2023,10.1234/journal.5727.11
Research on Gene Function 12,"Author0, Author1, Author2",Science,2023,10.1234/journal.1050.12
Research on Gene Function 13,"Author0, Author1, Author2, Author3",Bioinformatics,2011,10.1234/journal.2177.13
Research on Gene Function 14,"Author0, Author1, Author2, Author3, Author4",Nucleic Acids Research,2016,10.1234/journal.2860.14
Research on Gene Function 15,"Author0, Author1",PLOS ONE,2015,10.1234/journal.6414.15
Research on Gene Function 16,"Author0, Author1, Author2, Author3",Nature,2024,10.1234/journal.7477.16
Research on Gene Function 17,"Author0, Author1, Author2",Cell,2014,10.1234/journal.3030.17
Research on Gene Function 18,"Author0, Author1, Author2",Genome Research,2011,10.1234/journal.9455.18
Research on Gene Function 19,Author0,Cell,2019,10.1234/journal.8942.19
Research on Gene Function 20,"Author0, Author1",Science,2016,10.1234/journal.1745.20
Research on Gene Function 21,"Author0, Author1, Author2, Author3",Cell,2024,10.1234/journal.4491.21
Research on Gene Function 22,"Author0, Author1",BMC Genomics,2016,10.1234/journal.2018.22
Research on Gene Function 23,"Author0, Author1, Author2, Author3",Cell,2018,10.1234/journal.8437.23
Research on Gene Function 24,"Author0, Author1, Author2, Author3",Cell,2023,10.1234/journal.1722.24
Research on Gene Function 25,"Author0, Author1, Author2, Author3, Author4",Science,2021,10.1234/journal.2079.25
Research on Gene Function 26,"Author0, Author1, Author2",Nature,2022,10.1234/journal.9284.26
Research on Gene Function 27,Author0,Bioinformatics,2012,10.1234/journal.1343.27
